 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Perinuclei
1	IIx	1674.739	72.998	1632	38	151.899	44.179	NaN
2	IIa	828.575	45.513	1393	18	110.925	25.388	NaN
3	IIa	164.543	23.633	1677	24	142.524	10.796	NaN
4	IIa	692.173	42.668	1315	29	100.981	23.131	NaN
5	IIa	581.175	39.167	1718	49	171.741	20.366	NaN
6	IIx	1587.973	68.874	690	49	171.649	30.188	NaN
7	IIx	858.279	48.466	1335	34	120.203	27.352	NaN
8	I	764.869	42.003	1521	102	75.343	24.382	NaN
9	IIa	307.980	29.356	1554	37	153.435	17.059	NaN
10	IIa	903.616	44.002	810	62	157.443	34.458	NaN
11	IIx	170.405	23.765	1811	69	54.638	11.355	NaN
12	IIx	1437.500	53.436	635	115	61.336	42.509	NaN
13	IIa	226.686	28.084	1494	89	73.179	11.253	NaN
14	IIa	1173.685	55.840	1179	48	111.682	30.195	NaN
15	IIa	1687.636	62.357	437	69	154.463	37.800	NaN
16	IIx	4044.777	120.034	1505	196	48.589	66.163	NaN
17	IIa	996.245	47.587	983	52	99.834	29.383	NaN
18	IIa	1584.846	55.390	315	56	126.741	42.701	NaN
19	IIa	1506.679	56.694	534	60	131.424	38.316	NaN
20	IIa	1611.423	61.990	367	66	138.270	39.387	NaN
21	IIa	968.886	47.648	1229	135	70.852	29.514	NaN
22	IIa	1124.439	55.707	933	64	99.039	31.826	NaN
23	IIx	1048.226	52.574	1136	64	115.346	28.610	NaN
24	IIb	448.291	41.662	1738	93	25.796	17.397	NaN
25	IIx	1462.123	66.073	1010	70	110.493	27.267	NaN
26	IIa	1055.261	61.180	1062	165	78.805	23.131	NaN
27	IIa	144.610	20.132	1558	96	53.842	11.554	NaN
28	IIa	543.264	44.002	1263	147	67.443	16.742	NaN
29	IIa	991.164	59.167	795	82	96.674	20.631	NaN
30	IIa	796.527	37.301	1794	114	13.570	30.633	NaN
31	IIa	1276.475	60.146	705	91	136.685	42.314	NaN
32	IIx	138.747	23.358	1394	103	15.524	7.502	NaN
33	IIx	1085.356	58.356	1101	188	85.083	22.108	NaN
34	IIa	785.583	54.805	814	99	110.709	20.127	NaN
35	IIx	123.114	16.505	1738	109	24.624	9.829	NaN
36	I	827.403	59.035	856	100	95.469	23.909	NaN
37	IIx	91.847	17.336	1429	112	25.641	9.378	NaN
38	IIx	1173.685	59.220	1642	124	169.046	29.086	NaN
39	IIa	143.047	23.055	1463	103	102.529	8.055	NaN
40	IIa	1066.205	47.648	597	176	70.852	34.289	NaN
41	IIx	756.271	40.881	1375	139	23.429	27.416	NaN
42	IIa	597.591	31.884	1280	140	28.072	26.749	NaN
43	IIx	1296.408	62.345	1343	209	83.089	28.447	NaN
44	IIx	1108.806	56.694	448	115	131.424	29.001	NaN
45	IIa	1360.114	51.019	645	175	36.027	40.925	NaN
46	IIx	1450.398	54.130	528	116	104.036	35.588	NaN
47	IIx	1664.968	63.981	284	124	146.155	35.585	NaN
48	IIa	1155.316	54.762	969	127	108.642	33.759	NaN
49	IIa	635.502	37.744	1767	163	26.565	27.007	NaN
50	IIa	482.293	35.376	1418	174	46.432	21.222	NaN
51	IIa	582.348	39.820	892	135	112.135	21.831	NaN
52	IIa	813.333	36.119	1180	136	113.459	33.155	NaN
53	IIx	1951.061	73.422	367	137	141.569	42.314	NaN
54	IIa	1039.237	52.641	1123	218	74.148	28.413	NaN
55	IIa	1480.883	57.468	720	138	120.750	39.612	NaN
56	IIx	905.180	45.306	1631	142	140.599	26.840	NaN
57	IIa	540.919	35.199	1229	192	70.278	21.084	NaN
58	IIa	522.550	37.312	1368	206	81.327	21.119	NaN
59	IIx	771.513	43.976	1694	161	165.174	23.756	NaN
60	I	927.457	63.712	923	158	132.614	23.522	NaN
61	IIa	1345.653	54.519	264	162	139.185	35.520	NaN
62	IIx	1022.040	53.594	1286	160	106.955	28.202	NaN
63	IIx	766.041	50.064	1251	243	74.055	26.257	NaN
64	IIa	827.794	44.457	1022	173	115.844	31.884	NaN
65	IIa	212.616	23.266	1572	173	149.300	13.754	NaN
66	IIx	402.172	30.171	1464	208	34.019	20.585	NaN
67	IIx	1697.798	80.848	1360	262	39.352	35.718	NaN
68	IIx	1226.448	67.153	1753	252	35.910	29.970	NaN
69	IIx	1260.842	47.685	612	246	55.685	41.261	NaN
70	IIx	1113.496	50.189	1151	258	76.310	29.568	NaN
71	IIa	1075.976	46.587	781	183	130.101	37.782	NaN
72	IIx	1122.094	49.735	1078	184	104.560	29.712	NaN
73	IIa	623.777	33.834	1734	199	163.909	25.694	NaN
74	IIa	1421.867	57.028	342	207	167.335	36.885	NaN
75	IIa	1815.049	60.176	630	256	29.228	44.666	NaN
76	IIx	1413.268	50.457	468	245	33.887	36.260	NaN
77	IIx	968.886	54.965	873	192	109.259	27.110	NaN
78	IIa	792.228	47.550	1187	262	61.750	22.695	NaN
79	IIa	838.346	46.792	573	195	112.797	29.537	NaN
80	IIa	904.398	55.217	1641	199	164.233	22.506	NaN
81	IIa	685.529	48.102	916	273	81.027	20.247	NaN
82	IIa	1121.704	47.319	1612	197	105.322	36.249	NaN
83	IIa	497.145	29.489	1565	199	111.125	24.882	NaN
84	I	122.723	17.705	1007	223	47.862	12.447	NaN
85	I	714.451	45.586	1487	217	154.841	23.041	NaN
86	IIa	577.267	38.217	1337	273	74.827	21.929	NaN
87	IIx	1776.747	55.672	412	299	65.450	44.939	NaN
88	I	1303.834	57.468	707	276	30.750	37.960	NaN
89	IIa	939.182	47.447	853	220	108.435	29.719	NaN
90	IIa	736.338	52.752	1438	224	148.570	20.981	NaN
91	I	1277.257	45.168	1851	283	48.366	41.059	NaN
92	IIa	852.807	46.389	945	225	127.333	28.690	NaN
93	IIx	949.344	61.001	1201	320	65.799	25.287	NaN
94	I	1421.867	66.236	1637	276	19.290	32.818	NaN
95	IIa	740.246	39.982	1112	301	80.096	27.982	NaN
96	IIb	161.025	17.382	788	265	37.694	13.527	NaN
97	IIa	916.123	45.294	545	247	110.186	32.228	NaN
98	IIa	1437.500	56.314	1791	330	67.135	38.130	NaN
99	IIb	172.750	21.702	806	274	48.504	14.086	NaN
100	IIa	776.203	49.939	1048	248	124.287	25.513	NaN
101	IIx	765.651	42.031	1273	253	112.751	25.410	NaN
102	IIa	864.533	46.064	1565	283	172.200	31.853	NaN
103	IIa	410.379	29.858	1412	261	160.427	18.395	NaN
104	IIx	1938.945	74.984	268	284	172.816	40.295	NaN
105	IIa	85.203	16.362	1297	260	133.452	8.875	NaN
106	IIa	827.012	42.887	1001	262	120.677	24.638	NaN
107	IIa	167.669	20.200	1523	279	21.801	11.801	NaN
108	IIx	1265.923	56.767	1681	297	168.566	36.260	NaN
109	IIa	557.725	35.804	598	278	155.225	22.043	NaN
110	IIa	825.840	54.801	1827	268	117.150	25.427	NaN
111	IIa	322.050	37.369	1225	326	72.474	12.172	NaN
112	IIa	635.893	46.717	1151	342	74.476	19.418	NaN
113	IIx	146.564	18.651	1344	290	39.560	12.503	NaN
114	IIa	868.832	41.938	1877	290	153.435	33.134	NaN
115	IIa	862.578	41.961	890	286	146.547	32.879	NaN
116	IIx	1430.856	51.572	1447	296	173.737	41.404	NaN
117	IIa	1152.971	45.125	472	278	137.246	36.052	NaN
118	IIx	1428.511	52.309	775	275	114.727	36.756	NaN
119	IIa	1134.210	54.791	657	308	16.574	31.373	NaN
120	IIa	662.079	39.898	836	287	125.433	24.313	NaN
121	IIa	201.672	25.882	1046	291	127.147	10.658	NaN
122	IIa	1193.227	53.971	961	293	115.378	30.841	NaN
123	IIx	401.781	33.666	1309	318	21.801	17.295	NaN
124	I	1706.396	62.470	1605	306	157.027	39.910	NaN
125	IIa	391.228	27.600	1366	298	166.908	21.256	NaN
126	IIa	938.010	57.366	881	298	106.460	24.635	NaN
127	I	947.390	49.019	1244	303	142.253	29.524	NaN
128	IIa	589.383	39.996	1530	340	24.963	22.092	NaN
129	IIa	1055.652	46.110	367	328	167.471	31.884	NaN
